Variable,Value
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.83.debt.staff_grad_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.84.code,5122
latest.programs.cip_4_digit.84.title,Public Health.
latest.programs.cip_4_digit.84.ope6_id,006911
latest.programs.cip_4_digit.84.unit_id,163426
latest.programs.cip_4_digit.84.distance,1
latest.programs.cip_4_digit.84.school.name,Montgomery College
latest.programs.cip_4_digit.84.school.type,Public
latest.programs.cip_4_digit.84.school.main_campus,1
latest.programs.cip_4_digit.84.credential.level,2
latest.programs.cip_4_digit.84.credential.title,Associate's Degree
latest.programs.cip_4_digit.84.counts.ipeds_awards1,15
latest.programs.cip_4_digit.84.counts.ipeds_awards2,23
latest.programs.cip_4_digit.84.repayment.1_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.84.repayment.1_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.84.repayment.1_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.84.repayment.1_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.84.repayment.1_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.84.repayment.1_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.84.repayment.1_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.84.repayment.1_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.84.repayment.1_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.84.repayment.2_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.84.repayment.2_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.84.repayment.2_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.84.repayment.2_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.84.repayment.2_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.84.repayment.2_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.84.repayment.2_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.84.repayment.2_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.84.repayment.2_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.84.repayment.3_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.84.repayment.3_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.84.repayment.3_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.84.repayment.3_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.84.repayment.3_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.84.repayment.3_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.84.repayment.3_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.84.repayment.3_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.84.repayment.3_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.84.repayment.4_yr_bb_fed_comp.count,
latest.programs.cip_4_digit.84.repayment.4_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.84.repayment.4_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.84.repayment.4_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.84.repayment.4_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.84.repayment.4_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.84.repayment.4_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.84.repayment.4_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.84.repayment.4_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.84.earnings.1_yr.male_median_earnings,
latest.programs.cip_4_digit.84.earnings.1_yr.pell_median_earnings,
latest.programs.cip_4_digit.84.earnings.1_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.84.earnings.1_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.84.earnings.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.84.earnings.1_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.84.earnings.1_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.84.earnings.1_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.84.earnings.1_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.84.earnings.1_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.84.earnings.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.1_yr.not_working_not_enrolled.overall_count,0
latest.programs.cip_4_digit.84.earnings.1_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.84.earnings.1_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.84.earnings.4_yr.male_median_earnings,
latest.programs.cip_4_digit.84.earnings.4_yr.pell_median_earnings,
latest.programs.cip_4_digit.84.earnings.4_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.84.earnings.4_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.84.earnings.4_yr.overall_median_earnings,
latest.programs.cip_4_digit.84.earnings.4_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.84.earnings.4_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.84.earnings.4_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.84.earnings.4_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.84.earnings.4_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.84.earnings.4_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.4_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.4_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.84.earnings.4_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.84.earnings.5_yr.male_median_earnings,
latest.programs.cip_4_digit.84.earnings.5_yr.pell_median_earnings,
latest.programs.cip_4_digit.84.earnings.5_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.84.earnings.5_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.84.earnings.5_yr.overall_median_earnings,
latest.programs.cip_4_digit.84.earnings.5_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.84.earnings.5_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.84.earnings.5_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.84.earnings.5_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.84.earnings.5_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.84.earnings.5_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.5_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.5_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.84.earnings.5_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.male_median_earnings,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.pell_median_earnings,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.not_enrolled.male_count,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.not_enrolled.pell_count,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.not_enrolled.nonmale_count,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.not_enrolled.nonpell_count,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.overall_median_earnings,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.84.earnings.highest.3_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.highest.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.84.earnings.highest.1_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.84.earnings.highest.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.highest.1_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.highest.2_yr.overall_median_earnings,
latest.programs.cip_4_digit.84.earnings.highest.2_yr.overall_count_over_poverty_line,
latest.programs.cip_4_digit.84.earnings.highest.2_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.earnings.highest.2_yr.not_working_not_enrolled.overall_count,
latest.programs.cip_4_digit.84.debt.parent_plus.all.all_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.all.all_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.all.all_inst.average,
latest.programs.cip_4_digit.84.debt.parent_plus.all.all_inst.median_payment,
latest.programs.cip_4_digit.84.debt.parent_plus.all.eval_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.all.eval_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.all.eval_inst.average,
latest.programs.cip_4_digit.84.debt.parent_plus.all.eval_inst.median_payment,
latest.programs.cip_4_digit.84.debt.parent_plus.male.all_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.male.all_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.male.all_inst.average,
latest.programs.cip_4_digit.84.debt.parent_plus.male.eval_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.male.eval_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.male.eval_inst.average,
latest.programs.cip_4_digit.84.debt.parent_plus.pell.all_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.pell.all_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.pell.all_inst.average,
latest.programs.cip_4_digit.84.debt.parent_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.84.debt.parent_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.84.debt.parent_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.84.debt.parent_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.not_pell.all_inst.average,
latest.programs.cip_4_digit.84.debt.parent_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.84.debt.parent_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.84.debt.parent_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.all.all_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.all.all_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.all.all_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.all.all_inst.median_payment,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.all.eval_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.all.eval_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.all.eval_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.all.eval_inst.median_payment,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.male.all_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.male.all_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.male.all_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.male.eval_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.male.eval_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.male.eval_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.pell.all_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.pell.all_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.pell.all_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.pell.eval_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.pell.eval_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.pell.eval_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_male.all_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_male.all_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_male.all_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_male.eval_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_male.eval_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_male.eval_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_pell.all_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_pell.all_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_pell.all_inst.average,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_pell.eval_inst.count,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_pell.eval_inst.median,
latest.programs.cip_4_digit.84.debt.staff_grad_plus.not_pell.eval_inst.average,
latest.programs.cip_4_digit.85.code,5138
latest.programs.cip_4_digit.85.title,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing."
latest.programs.cip_4_digit.85.ope6_id,006911
latest.programs.cip_4_digit.85.unit_id,163426
latest.programs.cip_4_digit.85.distance,1
latest.programs.cip_4_digit.85.school.name,Montgomery College
latest.programs.cip_4_digit.85.school.type,Public
latest.programs.cip_4_digit.85.school.main_campus,1
latest.programs.cip_4_digit.85.credential.level,2
latest.programs.cip_4_digit.85.credential.title,Associate's Degree
latest.programs.cip_4_digit.85.counts.ipeds_awards1,184
latest.programs.cip_4_digit.85.counts.ipeds_awards2,177
latest.programs.cip_4_digit.85.repayment.1_yr_bb_fed_comp.count,20
latest.programs.cip_4_digit.85.repayment.1_yr_bb_fed_comp.default,
latest.programs.cip_4_digit.85.repayment.1_yr_bb_fed_comp.deferment,
latest.programs.cip_4_digit.85.repayment.1_yr_bb_fed_comp.discharge,
latest.programs.cip_4_digit.85.repayment.1_yr_bb_fed_comp.fullypaid,
latest.programs.cip_4_digit.85.repayment.1_yr_bb_fed_comp.delinquent,
latest.programs.cip_4_digit.85.repayment.1_yr_bb_fed_comp.noprogress,
latest.programs.cip_4_digit.85.repayment.1_yr_bb_fed_comp.forbearance,
latest.programs.cip_4_digit.85.repayment.1_yr_bb_fed_comp.makingprogress,
latest.programs.cip_4_digit.85.repayment.2_yr_bb_fed_comp.count,69
latest.programs.cip_4_digit.85.repayment.2_yr_bb_fed_comp.default,<=0.20
latest.programs.cip_4_digit.85.repayment.2_yr_bb_fed_comp.deferment,<=0.20
latest.programs.cip_4_digit.85.repayment.2_yr_bb_fed_comp.discharge,<=0.20
latest.programs.cip_4_digit.85.repayment.2_yr_bb_fed_comp.fullypaid,<=0.20
latest.programs.cip_4_digit.85.repayment.2_yr_bb_fed_comp.delinquent,<=0.20
latest.programs.cip_4_digit.85.repayment.2_yr_bb_fed_comp.noprogress,<=0.20
latest.programs.cip_4_digit.85.repayment.2_yr_bb_fed_comp.forbearance,<=0.20
latest.programs.cip_4_digit.85.repayment.2_yr_bb_fed_comp.makingprogress,0.20 - 0.39
latest.programs.cip_4_digit.85.repayment.3_yr_bb_fed_comp.count,60
latest.programs.cip_4_digit.85.repayment.3_yr_bb_fed_comp.default,<=0.20
latest.programs.cip_4_digit.85.repayment.3_yr_bb_fed_comp.deferment,<=0.20
latest.programs.cip_4_digit.85.repayment.3_yr_bb_fed_comp.discharge,<=0.20
latest.programs.cip_4_digit.85.repayment.3_yr_bb_fed_comp.fullypaid,<=0.20
latest.programs.cip_4_digit.85.repayment.3_yr_bb_fed_comp.delinquent,<=0.20
latest.programs.cip_4_digit.85.repayment.3_yr_bb_fed_comp.noprogress,<=0.20
latest.programs.cip_4_digit.85.repayment.3_yr_bb_fed_comp.forbearance,0.20 - 0.39
latest.programs.cip_4_digit.85.repayment.3_yr_bb_fed_comp.makingprogress,<=0.20
latest.programs.cip_4_digit.85.repayment.4_yr_bb_fed_comp.count,60
latest.programs.cip_4_digit.85.repayment.4_yr_bb_fed_comp.default,<=0.20
latest.programs.cip_4_digit.85.repayment.4_yr_bb_fed_comp.deferment,<=0.20
latest.programs.cip_4_digit.85.repayment.4_yr_bb_fed_comp.discharge,<=0.20
latest.programs.cip_4_digit.85.repayment.4_yr_bb_fed_comp.fullypaid,<=0.20
latest.programs.cip_4_digit.85.repayment.4_yr_bb_fed_comp.delinquent,<=0.20
latest.programs.cip_4_digit.85.repayment.4_yr_bb_fed_comp.noprogress,<=0.20
latest.programs.cip_4_digit.85.repayment.4_yr_bb_fed_comp.forbearance,0.60 - 0.79
latest.programs.cip_4_digit.85.repayment.4_yr_bb_fed_comp.makingprogress,<=0.20
latest.programs.cip_4_digit.85.earnings.1_yr.male_median_earnings,
latest.programs.cip_4_digit.85.earnings.1_yr.pell_median_earnings,
latest.programs.cip_4_digit.85.earnings.1_yr.nonmale_median_earnings,
latest.programs.cip_4_digit.85.earnings.1_yr.nonpell_median_earnings,
latest.programs.cip_4_digit.85.earnings.1_yr.overall_median_earnings,
latest.programs.cip_4_digit.85.earnings.1_yr.overall_count_more_than_HS_Grad,
latest.programs.cip_4_digit.85.earnings.1_yr.working_not_enrolled.male_count,
latest.programs.cip_4_digit.85.earnings.1_yr.working_not_enrolled.pell_count,
latest.programs.cip_4_digit.85.earnings.1_yr.working_not_enrolled.nonmale_count,
latest.programs.cip_4_digit.85.earnings.1_yr.working_not_enrolled.nonpell_count,
latest.programs.cip_4_digit.85.earnings.1_yr.working_not_enrolled.overall_count,
latest.programs.cip_4_digit.85.earnings.1_yr.not_working_not_enrolled.overall_count,0
latest.programs.cip_4_digit.85.earnings.1_yr.overall_count_awarded_higher_credential,
latest.programs.cip_4_digit.85.earnings.1_yr.overall_count_working_in_institution_state,
latest.programs.cip_4_digit.85.earnings.4_yr.male_median_earnings,
